229	4	Nordeste	MA	Sucupira do Riachão	BR-135	Federal	135BMA0330	230BMA0950			536,1	571,9	PAV	ENTR MA-034 (SÃO JOÃO DOS PATOS) - ENTR BR-230(B)/MA-364(A) (DOIS IRMÃOS)	ENTR MA-034 (SÃO JOÃO DOS PATOS)	ENTR BR-230(B)/MA-364(A) (DOIS IRMÃOS)	ENTR MA-034 (SÃO JOÃO DOS PATOS) → ENTR BR-230(B)/MA-364(A) (DOIS IRMÃOS)	ENTR BR-230(B)/MA-364(A) (DOIS IRMÃOS) → ENTR MA-034 (SÃO JOÃO DOS PATOS)	8	2	10
230	4	Nordeste	PI	Amarante	BR-343	Federal	343BPI0290				504,3	552,1	PAV	ENTR PI-130 (P/AMARANTE) - ENTR PI-120	ENTR PI-130 (P/AMARANTE)	ENTR PI-120	ENTR PI-130 (P/AMARANTE) → ENTR PI-120	ENTR PI-120 → ENTR PI-130 (P/AMARANTE)	8	2	10
231	4	Sudeste	SP	Guapiara	BR-373	Federal	373BSP0210				250	307,8	PAV	ENTR SP-252 (GUAPIARA) - ENTR SP-165/249 (APIAÍ)	ENTR SP-252 (GUAPIARA)	ENTR SP-165/249 (APIAÍ)	ENTR SP-252 (GUAPIARA) → ENTR SP-165/249 (APIAÍ)	ENTR SP-165/249 (APIAÍ) → ENTR SP-252 (GUAPIARA)	8	2	10
238	4	Sudeste	SP	São Pedro do Turvo	BR-153	Federal	153BSP1140				280,4	303	PAV	ENTR SP-331(A) - ENTR SP-331(B)	ENTR SP-331(A)	ENTR SP-331(B)	ENTR SP-331(A) → ENTR SP-331(B)	ENTR SP-331(B) → ENTR SP-331(A)	8	2	10
239	4	Sudeste	SP	Santa Cruz do Rio Pardo	BR-374	Federal	374BSP0230				272,6	300	DUP	ENTR BR-369 - ENTR SP-261 (P/ÁGUAS DE SANTA BÁRBARA)	ENTR BR-369	ENTR SP-261 (P/ÁGUAS DE SANTA BÁRBARA)	ENTR BR-369 → ENTR SP-261 (P/ÁGUAS DE SANTA BÁRBARA)	ENTR SP-261 (P/ÁGUAS DE SANTA BÁRBARA) → ENTR BR-369	10	2	12
251	4	Sudeste	RJ	Teresópolis	BR-116	Federal	116BRJ1530				40	56,1	PAV	ENTR RJ-156 (P/VOLTA DO PIÃO) - ENTR BR-492(A)	ENTR RJ-156 (P/VOLTA DO PIÃO)	ENTR BR-492(A)	ENTR RJ-156 (P/VOLTA DO PIÃO) → ENTR BR-492(A)	ENTR BR-492(A) → ENTR RJ-156 (P/VOLTA DO PIÃO)	8	2	10
259	4	Norte	RO	Presidente Médici	BR-429	Federal	429BRO0031				53	76,5	PAV	ENTR RO-135 (P/NOVA LONDRINA) - FIM DO TRECHO PAVIMENTADO	ENTR RO-135 (P/NOVA LONDRINA)	FIM DO TRECHO PAVIMENTADO	ENTR RO-135 (P/NOVA LONDRINA) → FIM DO TRECHO PAVIMENTADO	FIM DO TRECHO PAVIMENTADO → ENTR RO-135 (P/NOVA LONDRINA)	8	2	10
260	4	Norte	RO	Cacoal	BR-364	Federal	364BRO1148				245,5	274,3	PAV	ENTR RO-471 (P/MINISTRO ANDREAZZA) - ENTR RO-479(A) (P/ROLIM DE MOURA)	ENTR RO-471 (P/MINISTRO ANDREAZZA)	ENTR RO-479(A) (P/ROLIM DE MOURA)	ENTR RO-471 (P/MINISTRO ANDREAZZA) → ENTR RO-479(A) (P/ROLIM DE MOURA)	ENTR RO-479(A) (P/ROLIM DE MOURA) → ENTR RO-471 (P/MINISTRO ANDREAZZA)	8	2	10
282	4	Sudeste	SP	Itapetininga	BR-272	Federal	272BSP0130	373BSP0130			148,3	159	DUP	ENTR BR-373(A) (ITAPETININGA) - ENTR BR-373(B)	ENTR BR-373(A) (ITAPETININGA)	ENTR BR-373(B)	ENTR BR-373(A) (ITAPETININGA) → ENTR BR-373(B)	ENTR BR-373(B) → ENTR BR-373(A) (ITAPETININGA)	10	2	12
284	4	Sudeste	SP	Jaci	BR-153	Federal	153BSP1010				75,6	99,8	PAV	ENTR SP-355 - ENTR SP-425	ENTR SP-355	ENTR SP-425	ENTR SP-355 → ENTR SP-425	ENTR SP-425 → ENTR SP-355	8	2	10
